Date,Price,Stock
2024-08-09,238.304,AAPL
2024-08-08,234.64100000000002,AAPL
2024-08-07,230.80200000000002,AAPL
2024-08-06,227.953,AAPL
2024-08-05,230.19700000000003,AAPL
2024-08-02,241.84600000000003,AAPL
2024-08-01,240.19600000000003,AAPL
2024-07-31,244.28800000000004,AAPL
2024-07-30,240.68000000000004,AAPL
2024-07-29,240.06400000000002,AAPL
2024-07-26,239.75600000000003,AAPL
2024-07-25,239.23900000000003,AAPL
2024-07-24,240.394,AAPL
2024-07-23,247.51100000000002,AAPL
2024-07-22,246.35600000000002,AAPL
2024-07-19,246.741,AAPL
2024-07-18,246.59800000000004,AAPL
2024-07-17,251.76800000000003,AAPL
2024-07-16,258.302,AAPL
2024-07-15,257.84000000000003,AAPL
2024-07-12,253.59400000000002,AAPL
2024-07-11,250.32700000000003,AAPL
2024-07-10,256.278,AAPL
2024-07-09,251.54800000000003,AAPL
2024-07-08,250.602,AAPL
2024-07-05,248.97400000000002,AAPL
2024-07-03,243.70500000000004,AAPL
2024-07-02,242.29700000000003,AAPL
2024-07-01,238.425,AAPL
2024-06-28,231.68200000000002,AAPL
2024-06-27,235.51000000000002,AAPL
2024-06-26,234.57500000000002,AAPL
2024-06-25,229.977,AAPL
2024-06-24,228.954,AAPL
2024-06-21,228.23900000000003,AAPL
2024-06-20,230.64800000000002,AAPL
2024-06-18,235.71900000000002,AAPL
2024-06-17,238.33700000000002,AAPL
2024-06-14,233.73900000000003,AAPL
2024-06-13,235.66400000000002,AAPL
2024-06-12,234.377,AAPL
2024-06-11,227.86500000000004,AAPL
2024-06-10,212.43200000000002,AAPL
2024-06-07,216.579,AAPL
2024-06-06,213.928,AAPL
2024-06-05,215.45700000000002,AAPL
2024-06-04,213.78500000000003,AAPL
2024-06-03,213.43300000000002,AAPL
2024-05-31,211.47500000000002,AAPL
2024-05-30,210.419,AAPL
2024-05-29,209.31900000000002,AAPL
2024-05-28,208.98900000000003,AAPL
2024-05-24,208.978,AAPL
2024-05-23,205.568,AAPL
2024-05-22,209.99,AAPL
2024-05-21,211.585,AAPL
2024-05-20,210.144,AAPL
2024-05-17,208.85700000000003,AAPL
2024-05-16,208.824,AAPL
2024-05-15,208.692,AAPL
2024-05-14,206.17300000000003,AAPL
2024-05-13,204.90800000000002,AAPL
2024-05-10,201.35500000000002,AAPL
2024-05-09,203.02700000000002,AAPL
2024-05-08,201.01400000000004,AAPL
2024-05-07,200.64000000000001,AAPL
2024-05-06,199.88100000000003,AAPL
2024-05-03,201.71800000000002,AAPL
2024-05-02,190.33300000000003,AAPL
2024-05-01,186.23000000000002,AAPL
2024-04-30,187.36300000000003,AAPL
2024-04-29,190.85000000000002,AAPL
2024-04-26,186.23000000000002,AAPL
2024-04-25,186.879,AAPL
2024-04-24,185.92200000000003,AAPL
2024-04-23,183.59000000000003,AAPL
2024-04-22,182.424,AAPL
2024-04-19,181.50000000000003,AAPL
2024-04-18,183.744,AAPL
2024-04-17,184.8,AAPL
2024-04-16,186.318,AAPL
2024-04-15,189.959,AAPL
2024-04-12,194.20500000000004,AAPL
2024-04-11,192.544,AAPL
2024-04-10,184.55800000000002,AAPL
2024-04-09,186.637,AAPL
2024-04-08,185.29500000000002,AAPL
2024-04-05,186.53800000000004,AAPL
2024-04-04,185.702,AAPL
2024-04-03,186.615,AAPL
2024-04-02,185.72400000000002,AAPL
2024-04-01,187.03300000000002,AAPL
2024-03-28,188.62800000000001,AAPL
2024-03-27,190.64100000000002,AAPL
2024-03-26,186.681,AAPL
2024-03-25,187.935,AAPL
2024-03-22,189.508,AAPL
2024-03-21,188.50700000000003,AAPL
2024-03-20,196.537,AAPL
2024-03-19,193.68800000000002,AAPL
2024-03-18,191.092,AAPL
2024-03-15,189.88200000000003,AAPL
2024-03-14,190.3,AAPL
2024-03-13,188.24300000000002,AAPL
2024-03-12,190.553,AAPL
2024-03-11,190.025,AAPL
2024-03-08,187.803,AAPL
2024-03-07,185.9,AAPL
2024-03-06,186.032,AAPL
2024-03-05,187.13200000000003,AAPL
2024-03-04,192.61,AAPL
2024-03-01,197.626,AAPL
2024-02-29,198.82500000000002,AAPL
2024-02-28,199.562,AAPL
2024-02-27,200.893,AAPL
2024-02-26,199.276,AAPL
2024-02-23,200.77200000000002,AAPL
2024-02-22,202.80700000000002,AAPL
2024-02-21,200.55200000000002,AAPL
2024-02-20,199.716,AAPL
2024-02-16,200.54100000000003,AAPL
2024-02-15,202.24600000000004,AAPL
2024-02-14,202.56500000000003,AAPL
2024-02-13,203.544,AAPL
2024-02-12,205.865,AAPL
2024-02-09,207.735,AAPL
2024-02-08,207.15200000000002,AAPL
2024-02-07,208.351,AAPL
2024-02-06,208.23000000000002,AAPL
2024-02-05,206.44800000000004,AAPL
2024-02-02,204.435,AAPL
2024-02-01,205.54600000000002,AAPL
2024-01-31,202.84000000000003,AAPL
2024-01-30,206.844,AAPL
2024-01-29,210.903,AAPL
2024-01-26,211.662,AAPL
2024-01-25,213.58700000000002,AAPL
2024-01-24,213.95000000000002,AAPL
2024-01-23,214.69800000000004,AAPL
2024-01-22,213.279,AAPL
2024-01-19,210.716,AAPL
2024-01-18,207.49300000000002,AAPL
2024-01-17,200.94800000000004,AAPL
2024-01-16,201.99300000000002,AAPL
2024-01-12,204.512,AAPL
2024-01-11,204.14900000000003,AAPL
2024-01-10,204.80900000000003,AAPL
2024-01-09,203.654,AAPL
2024-01-08,204.116,AAPL
2024-01-05,199.29800000000003,AAPL
2024-01-04,200.101,AAPL
2024-01-03,202.675,AAPL
2024-01-02,204.204,AAPL
2023-12-29,211.78300000000002,AAPL
2023-12-28,212.93800000000005,AAPL
2023-12-27,212.46500000000003,AAPL
2023-12-26,212.35500000000002,AAPL
2023-12-22,212.96,AAPL
2023-12-21,214.14800000000002,AAPL
2023-12-20,214.31300000000005,AAPL
2023-12-19,216.63400000000001,AAPL
2023-12-18,215.479,AAPL
2023-12-15,217.327,AAPL
2023-12-14,217.92100000000002,AAPL
2023-12-13,217.75600000000003,AAPL
2023-12-12,214.18100000000004,AAPL
2023-12-11,212.49800000000002,AAPL
2023-12-08,215.28100000000003,AAPL
2023-12-07,213.69700000000003,AAPL
2023-12-06,211.55200000000002,AAPL
2023-12-05,212.762,AAPL
